"verbatimFieldName","standardFieldName","namespace","uri","checked","source","comment","opinionBy","opinionDate"
"dwc:locationremarks","locationRemarks","dwc","http://rs.tdwg.org/dwc/terms/locationRemarks",1,,,"John Wieczorek","2017-08-25"
"dwc:lowestbiostratigraphiczone","lowestBiostratigraphicZone","dwc","http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone",1,,,"John Wieczorek","2017-08-25"
"dwc:materialsampleid","materialSampleID","dwc","http://rs.tdwg.org/dwc/terms/materialSampleID",1,,,"John Wieczorek","2017-08-25"
"dwc:maximumdepthinmeters","maximumDepthInMeters","dwc","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:maximumdistanceabovesurfaceinmeters","maximumDistanceAboveSurfaceInMeters","dwc","http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:maximumelevationinmeters","maximumElevationInMeters","dwc","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:member","member","dwc","http://rs.tdwg.org/dwc/terms/member",1,,,"John Wieczorek","2017-08-25"
"dwc:minimumdepthinmeters","minimumDepthInMeters","dwc","http://rs.tdwg.org/dwc/terms/minimumDepthInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:minimumdistanceabovesurfaceinmeters","minimumDistanceAboveSurfaceInMeters","dwc","http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:minimumelevationinmeters","minimumElevationInMeters","dwc","http://rs.tdwg.org/dwc/terms/minimumElevationInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:month","month","dwc","http://rs.tdwg.org/dwc/terms/month",1,,,"John Wieczorek","2017-08-25"
"dwc:municipality","municipality","dwc","http://rs.tdwg.org/dwc/terms/municipality",1,,,"John Wieczorek","2017-08-25"
"dwc:nameaccordingto","nameAccordingTo","dwc","http://rs.tdwg.org/dwc/terms/nameAccordingTo",1,,,"John Wieczorek","2017-08-25"
"dwc:nameaccordingtoid","nameAccordingToID","dwc","http://rs.tdwg.org/dwc/terms/nameAccordingToID",1,,,"John Wieczorek","2017-08-25"
"dwc:namepublishedin","namePublishedIn","dwc","http://rs.tdwg.org/dwc/terms/namePublishedIn",1,,,"John Wieczorek","2017-08-25"
"dwc:namepublishedinid","namePublishedInID","dwc","http://rs.tdwg.org/dwc/terms/namePublishedInID",1,,,"John Wieczorek","2017-08-25"
"dwc:namepublishedinyear","namePublishedInYear","dwc","http://rs.tdwg.org/dwc/terms/namePublishedInYear",1,,,"John Wieczorek","2017-08-25"
"dwc:nomenclaturalcode","nomenclaturalCode","dwc","http://rs.tdwg.org/dwc/terms/nomenclaturalCode",1,,,"John Wieczorek","2017-08-25"
"dwc:nomenclaturalstatus","nomenclaturalStatus","dwc","http://rs.tdwg.org/dwc/terms/nomenclaturalStatus",1,,,"John Wieczorek","2017-08-25"
"dwc:occurrenceid","occurrenceID","dwc","http://rs.tdwg.org/dwc/terms/occurrenceID",1,,,"John Wieczorek","2017-08-25"
"dwc:occurrenceremarks","occurrenceRemarks","dwc","http://rs.tdwg.org/dwc/terms/occurrenceRemarks",1,,,"John Wieczorek","2017-08-25"
"dwc:occurrencestatus","occurrenceStatus","dwc","http://rs.tdwg.org/dwc/terms/occurrenceStatus",1,,,"John Wieczorek","2017-08-25"
