"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Bobastrania",,,"BOBASTRANIA GROUP","ACTINOPTERYGIAN","Chordata","Animalia",,0,0,,1
"Bobbschaefferia",,"Didelphidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Bodianus","Bodianus","Labridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Boehlkea","Boehlkea","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Boeolophus","Baeolophus","Paridae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"BOGERTIA","Bogertia","Phyllodactylidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"BOGERTOPHIS","Bogertophis","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bogertophis/Elaphe",,"Colubridae","Squamata","Reptilia","Chordata","Animalia","The Reptile Database",0,1,"Genus contains two distinct genera.",0
"Bohadschia","Bohadschia","Holothuriidae","Aspidochirotida","Aspidochirotida","Echinodermata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,,1
"Bohlinia",,"Bovidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Boidae",,"Boidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",0
"BOIGA","Boiga","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Boiruna","Boiruna","Colubridae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Boissoneana","Boissonneaua","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Boissoneaua","Boissonneaua","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Boissonneana","Boissonneaua","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Boissonneaua","Boissonneaua","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Boissonneaui","Boissonneaua","Trochilidae","Apodiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bolbarhynchus","Bolborhynchus","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Bolbometopon","Bolbometopon","Scaridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bolboprittacus","Bolbopsittacus","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Bolbopsittacus","Bolbopsittacus","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bolborhynchus","Bolborhynchus","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Boleichthys","Etheostoma","Percidae","Perciformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Boleophthalmus","Boleophthalmus","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Boleosoma","Etheostoma","Percidae","Perciformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Bolinichthys","Bolinichthys","Myctophidae","Myctophiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"BOLITOGLOSSA","Bolitoglossa","Plethodontidae","Caudata","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Bollmannia","Bollmannia","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bolocera",,,"ACTINIARIA","ANTHOZOA","COELENTERATA","Animalia",,0,0,,1
"BOLOMYS","Bolomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bolosaurus",,"Bolosauridae","Captorhinida","Reptilia",,"Animalia",,0,0,,1
"Boltenia",,,,"UROCHORDATA","Chordata","Animalia",,0,0,,1
"BOLYERIA","Bolyeria","Bolyeridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bolyphantes",,,,"ARACHNIDA","ARTHROPODA","Animalia",,0,0,,1
"BOMBINA","Bombina","Bombinatoridae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Bombinator",,"DISCOGLOSSIDAE",,"Amphibia","Chordata","Animalia",,0,0,,1
"Bombrycilla","Bombycilla","Bombycillidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bombus","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Bombycilla","Bombycilla","Bombycillidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bombycillia","Bombycilla","Bombycillidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bombyliidae",,"Bombyliidae","Diptera","Insecta","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",1
"Bomlycilla","Bombycilla","Bombycillidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bompus","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus misspelled.",1
"Bonapartherium",,"Bonapartheriidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Bonapartia","Bonapartia","Gonostomatidae","Stomiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bonasa","Bonasa","Phasianidae","Galliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bonellia",,,,"ECHIUROIDEA","ANNELIDA","Animalia",,0,0,,1
"bonharnaisius",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bonosa","Bonasa","Phasianidae","Galliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Boodon",,"COLUBRIDAE","Squamata","Reptilia","Chordata","Animalia",,0,0,,1
"Boophis","Boophis","Mantellidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Boops","Boops","Sparidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bootherium","Bootherium","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Bopyrina",,,"EPICARIDA","CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Bopyrus",,,"EPICARIDA","CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Borealosuchus","Borealosuchus",,"Crocodylia","Reptilia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Boremys",,"Baenidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"Boreogadus","Boreogadus","Gadidae","Gadiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Boreonymphon",,"NYMPHONIDAE",,"PYCNOGONIDA","ARTHROPODA","Animalia",,0,0,,1
"Boreophausia",,,,"CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Boreortalis",,"Cracidae","Galliformes","Aves",,"Animalia",,0,0,,1
"Boreosomus",,,,"BASAL ACTINOPTERYGIAN",,"Animalia",,0,0,,1
"Borhyaena",,"Borhyaenidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Borhyaenidium",,"Borhyaenidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Borinquenula","Borinquenula","Tettigoniidae","Orthoptera","Insecta","Arthropoda","Animalia","The Catalogue of Life, 3rd January 2011",1,1,,1
"Bornella",,"BORNELLIDAE","NUDIBRANCHIATA","GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Borodinula","Avocettina","Nemichthyidae","Anguilliformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a synonym.",0
"Borophagus","Borophagus","Canidae","Carnivora","Mammalia","Chordata","Animalia","Paleobiology Database",1,1,,0
"Borophryne","Borophryne","Linophrynidae","Lophiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Borostomias","Borostomias","Stomiidae","Stomiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bos","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bos / Bison",,"BOVIDAE","Artiodactyla","Mammalia","Chordata","Animalia",,0,1,"Not a genus.",0
"Bos/Equus",,,"Artiodactyla","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",0,1,"Genus contains two distinct genera.",0
"BOSELAPHUS","Boselaphus","Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bostockia","Bostockia","Percichthyidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bostrichthys","Bostrychus","Eleotridae","Perciformes","Actinopterygii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus is a synonym.",0
"Bostrychia","Bostrychia","Threskiornithidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bostrychus","Bostrychus","Eleotridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Botairis","Botaurus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Botarius","Botaurus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Botarus","Botaurus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Botaurus","Botaurus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bothidae",,"Bothidae","Pleuronectiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Bothragonus","Bothragonus","Agonidae","Scorpaeniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bothremys",,"Pelomedusidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"Bothriceps",,"Brachyopidae","Temnospondyli","Amphibia",,"Animalia",,0,0,,1
"BOTHRIECHIS","Bothriechis","Viperidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bothriocephalus",,,,"CESTODA","PLATYHELMINTHES","Animalia",,0,0,,1
"Bothriodon",,"ANTHRACOTHERIIDAE","Artiodactyla","Mammalia","Chordata","Animalia",,0,0,,1
"Bothriogenys",,"Anthracotheriidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Bothriolepis","Bothriolepis","Bothriolepidae","Antiarchi","Placodermi","Chordata","Animalia","Paleobiology Database",1,1,,0
"Bothrioneuron",,,,"OLIGOCHAETA","ANNELIDA","Animalia",,0,0,,1
"BOTHRIOPIS","Bothriopsis","Viperidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: April 2013",0,1,"Genus misspelled.",0
"Bothriopsis","Bothriopsis","Viperidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bothrocara","Bothrocara","Zoarcidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"BOTHROCHILUS","Bothrochilus","Pythonidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bothrocophias","Bothrocophias","Viperidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"BOTHROLYCUS","Bothrolycus","Colubridae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Bothrophthalmus","Bothrophthalmus","Colubridae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"BOTHROPS","Bothrops","Viperidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bothus","Bothus","Bothidae","Pleuronectiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Botia","Botia","Cobitidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Botourus","Botaurus","Ardeidae","Pelecaniformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Botrylloides",,"BOTRYLLIDAE",,"ASCIDIACEA","Chordata","Animalia",,0,0,,1
"Botryllus",,"BOTRYLLIDAE",,"ASCIDIACEA","Chordata","Animalia",,0,0,,1
"Bouciera",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Boucieria",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Boulengerella","Boulengerella","Ctenoluciidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Boulengerina","Boulengerina","Elapidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Boulengerochromis","Boulengerochromis","Cichlidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Boulengeromyrus","Boulengeromyrus","Mormyridae","Osteoglossiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"BOULENGERULA","Boulengerula","Herpelidae","Gymnophiona","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Bouqsa",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bourciera",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bouromeryx",,"Palaeomerycidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Bovichtidae",,"Bovichthyidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a misspelled family.",0
"Bovichtus","Bovichtus","Bovichthyidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bovidae",,"Bovidae","Artiodactyla","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",0,1,"Genus is a family.",0
"Bovidae/Equus",,,"Artiodactyla","Mammalia","Chordata","Animalia","Mammal Species of the World. 2005.",0,1,"Genus contains two distinct taxa.",0
"Bowdleria","Megalurus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Bowerbankia",,"VESICULARIIDAE","CTENOSTOMATA","ECTOPROCTA","POLYZOA","Animalia",,0,0,,1
"Box",,"SPARIDAE","ACANTHOPTERYGII",,,"Animalia",,0,0,,1
"Brabournea",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bracgtgalba",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bracgtspiza",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brachaelurus","Brachaelurus","Brachaeluridae","Orectolobiformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Brachalletes",,"Macropodidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Brachunteracias",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brachyamblyopus","Brachyamblyopus","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachycephalus","Brachycephalus","Brachycephalidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Brachychalcinus","Brachychalcinus","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachychampsa",,"Alligatoridae","Crocodylia","Reptilia",,"Animalia",,0,0,,1
"Brachycope","Brachycope","Ploceidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Brachycrus",,"Merycoidodontidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Brachydanio","Danio","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia","Interim Register of Marine and Nonmarine Genera",0,1,"Genus is a synonym.",0
"Brachydeuterus","Brachydeuterus","Haemulidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachyerix",,"Erinaceidae","Lipotyphla","Mammalia",,"Animalia",,0,0,,1
"Brachygalba","Brachygalba","Galbulidae","Galbuliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Brachygalbu","Brachygalba","Galbulidae","Galbuliformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Brachygeomys",,"Geomyidae","Rodentia","Mammalia",,"Animalia",,0,0,,1
"Brachyhyops",,"Choeropotamidae","Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Brachyhypopomus","Brachyhypopomus","Hypopomidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachyistius","Brachyistius","Embiotocidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachylagus","Brachylagus","Leporidae","Lagomorpha","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Brachylophosaurus",,"Hadrosauridae","Ornithischia","Reptilia",,"Animalia",,0,0,,1
"BRACHYLOPHUS","Brachylophus","Iguanidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"BRACHYMELES","Brachymeles","Scincidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Brachyodus",,"ANTHRACOTHERIIDAE","Artiodactyla","Mammalia","Chordata","Animalia",,0,0,,1
"BRACHYOPHIDIUM","Brachyophidium","Uropeltidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Brachyops",,"Brachyopidae","Temnospondyli","Amphibia",,"Animalia",,0,0,,1
"Brachypetersius","Brachypetersius","Alestiidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachyphonus","Trachyphonus","Ramphastidae","Piciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"BRACHYPHYLLA","Brachyphylla","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Brachyplatystoma","Brachyplatystoma","Pimelodidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachypleura",,"PLEURONECTIDAE","ANACANTHINI",,,"Animalia",,0,0,,1
"Brachypodius",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brachypotherium",,"Rhinocerotidae","Perissodactyla","Mammalia",,"Animalia",,0,0,,1
"Brachypsalis",,"Mustelidae","Carnivora","Mammalia",,"Animalia",,0,0,,1
"Brachypsaloides",,"Mustelidae","Carnivora","Mammalia",,"Animalia",,0,0,,1
"Brachypteracias","Brachypteracias","Brachypteraciidae","Coraciiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Brachypterix","Brachypteryx","Turdidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Brachypternus","Dinopium","Picidae","Piciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Brachypterus","Dinopium","Picidae","Piciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Brachypteryx","Brachypteryx","Turdidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Brachyramphus","Brachyramphus","Alcidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Brachyrhamdia","Brachyrhamdia","Heptapteridae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachyrhamphus","Brachyramphus","Alcidae","Charadriiformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Brachyrhaphis","Brachyrhaphis","Poeciliidae","Cyprinodontiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachyrhynchocyon",,"CANIDAE","Carnivora","Mammalia","Chordata","Animalia",,0,0,,1
"Brachysomophis","Brachysomophis","Ophichthidae","Anguilliformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brachyspiza",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brachysteryx","Brachypteryx","Turdidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Brachytarsomys","Brachytarsomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Brachytarsophrys","Brachytarsophrys","Megophryidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Brachyteles","Brachyteles","Atelidae","Primates","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Brachyternus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brachyuromys","Brachyuromys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Brachyurophis","Brachyurophis","Elapidae","Squamata","Reptilia","Chordata","Animalia","National Center for Biotechnology Information",0,1,,0
"brachyurus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brachyus",,,"Artiodactyla","Mammalia",,"Animalia",,0,0,,1
"Bracornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brada",,"CHLORHAEMIDAE",,"POLYCHAETA","ANNELIDA","Animalia",,0,0,,1
"Bradipterus","Bradypterus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bradirbus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Bradornis","Bradornis","Muscicapidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bradouis","Bradornis","Muscicapidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Bradybaena",,"BRADYBAENIDAE",,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Bradyornis","Bradornis","Muscicapidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"BRADYPODION","Bradypodion","Chamaeleonidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Bradypterus","Bradypterus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Bradypteryx",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"BRADYPUS","Bradypus","Bradypodidae","Pilosa","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Bradysaurus",,"Pareiasauridae","Captorhinida","Reptilia",,"Animalia",,0,0,,1
"Bradytriton","Bradytriton","Plethodontidae","Caudata","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Brama","Brama","Bramidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bramidae",,"Bramidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Braminae",,"Bramidae","Perciformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a subfamily.",0
"Bramocharax","Bramocharax","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Branchellion",,,,"HIRUDINEA","ANNELIDA","Animalia",,0,0,,1
"Branchiomma",,"Serpulidae",,"POLYCHAETA","ANNELIDA","Animalia",,0,0,,1
"Branchiosaurus",,,"BRANCHIOSAUR",,,"Animalia",,0,0,,1
"Branchiostegus","Branchiostegus","Malacanthidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Branchiostoma","Branchiostoma","Branchiostomidae","Amphioxiformes","Leptocardii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Branchipus",,"Branchipodidae",,"CRUSTACEA; ENTOMOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Branisella",,,"Primates","Mammalia",,"Animalia",,0,0,,1
"Brannerion",,"ELOPOMORPH","ANGUILLIFORM","ACTINOPTERYGIAN","Chordata","Animalia",,0,0,,1
"Branta","Branta","Anatidae","Anseriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Branta X Chen",,"Anatidae","Anseriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a hybrid.",0
"Branta x Cygnopsis",,"Anatidae","Anseriformes","Aves","Chordata","Animalia",,0,1,"Genus is a hybrid.",0
"Branta X Eulabeia",,"Anatidae","Anseriformes","Aves","Chordata","Animalia",,0,1,"Genus is a hybrid.",0
"Brasileuterus","Basileuterus","Parulidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"BRASILISCINCUS","Brasiliscincus","Scincidae","Squamata","Reptilia","Chordata","Animalia","Wikipedia",0,1,,0
"Brassomys","Brassomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","Musser & Lunde, 2009",1,1,,0
"Brazilian",,"",,,,,,0,1,"Not a genus.",0
"Brazosiella","Brazosiella","Monocentridae","Beryciformes","Actinopterygii","Chordata","Animalia","Paleobiology Database",1,1,,0
"Breagyps","Breagyps","Cathartidae","Accipitriformes","Aves","Chordata","Animalia","Paleobiology Database",1,1,,0
"Bregmaceros","Bregmaceros","Bregmacerotidae","Gadiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Bregmacerotidae",,"Bregmacerotidae","Gadiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is a family.",0
"Breviceps","Breviceps","Brevicipitidae","Anura","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Brevimyrus","Brevimyrus","Mormyridae","Osteoglossiformes","Actinopterygii","Chordata","Animalia","National Center for Biotechnology Information",0,1,,0
"Breviodon",,"Lophialetidae","Perissodactyla","Mammalia",,"Animalia",,0,0,,1
"Breviraja","Breviraja","Rajidae","Rajiformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"BREVOORTIA","Brevoortia","Clupeidae","Clupeiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"BRIBA","Briba","Gekkonidae","Squamata","Reptilia","Chordata","Animalia","National Center for Biotechnology Information",0,1,,0
"Bridgeremys",,"Geoemydidae","Testudines","Reptilia",,"Animalia",,0,0,,1
"Brienomyrus","Brienomyrus","Mormyridae","Osteoglossiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Briolus","Oriolus","Oriolidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Brisinga",,"BRISINGIDAE",,"ASTEROIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Brisingaster",,,,"ASTEROIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Brissopsis",,,,"ECHINOIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Brissus",,,,"ECHINOIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Brlonopterus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Brochis","Brochis","Callichthyidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Brochygalba","Brachygalba","Galbulidae","Galbuliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Brodypterus","Bradypterus","Sylviidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Broiliellus",,,"DISSOROPHID",,,"Animalia",,0,0,,1
"BRONCHOCELA","Bronchocela","Agamidae","Squamata","Reptilia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
