"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Gymnoscopelus","Gymnoscopelus","Myctophidae","Myctophiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnosis","Gymnoris","Passeridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gymnostinops","Psarocolius","Icteridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Gymnostox",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"GYMNOTHORAX","Gymnothorax","Muraenidae","Anguilliformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"GYMNOTHRAX","Gymnothorax","Muraenidae","Anguilliformes","Actinopterygii","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Gymnotiformes",,,"Gymnotiformes","Actinopterygii","Chordata","Animalia",,0,1,"Genus is an order.",0
"Gymnotus","Gymnotus","Gymnotidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnura","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Gymnuromys","Gymnuromys","Muridae","Rodentia","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Gymoeopelia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gynnophaps",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gynobucco","Gymnobucco","Ramphastidae","Piciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gynonocorvus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gyonocitta",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gypaetus","Gypaetus","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gypaëtus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gypagus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gyparchus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gypohierax","Gypohierax","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gypohierox","Gypohierax","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gypoictinia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gypolinerax",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gypopsitta","Pionopsitta","Psittacidae","Psittaciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Gyps","Gyps","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gypsonictops",,"Gypsonictopidae","Leptictida","Mammalia",,"Animalia",,0,0,,1
"Gypsophila","Napothera","Sylviidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Gyracanthus",,"GYRACANTHID",,,,"Animalia",,0,0,,1
"Gyraulus",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Gyrinidae",,"Gyrinidae","Coleoptera","Insecta","Arthropoda","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is a family.",1
"Gyrinocheilus","Gyrinocheilus","Gyrinocheilidae","Cypriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gyrinomimus","Gyrinomimus","Cetomimidae","Stephanoberyciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"GYRINOPHILUS","Gyrinophilus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Gyrodus",,,"PYCNODONTID","ACTINOPTERYGIAN","Chordata","Animalia",,0,0,,1
"Gyronchus",,"Pycnodontidae","Pycnodontiformes","Osteichthyes",,"Animalia",,0,0,,1
