verbatimTypeStatus	standardTypeStatus	standard	checked
HOLOTYPE OF AMEIVA AUBERI SIDEROXYLON, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):12.	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI VULTURNUS, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):15	holotype	0	1
HOLOTYPE OF AMEIVA BIFRONTATA CONCOLOR	holotype	0	1
HOLOTYPE OF AMEIVA BIRDORUM	holotype	0	1
HOLOTYPE OF AMEIVA CHAITZAMI	holotype	0	1
HOLOTYPE OF AMEIVA WETMOREI ELEANORAE	holotype	0	1
Holotype of Ammospermophilus leucurus peninsulae	holotype	0	1
Holotype of Ammospermophilus leucurus peninsulae ((Allen))	holotype	0	1
HOLOTYPE OF AMMOSPIZA CAUDACUTA ALTERA, TODD, W. E. C. 1938. TWO NEW RACES OF NORTH AMERICAN BIRDS. AUK, 116-118. PAGE 117, PUBLISHED JANUARY 1938.	holotype	0	1
HOLOTYPE OF AMOLOPS NEPALICUS	holotype	0	1
HOLOTYPE OF AMPHIGLOSSUS ANOSYENSIS	holotype	0	1
HOLOTYPE OF AMPHIGLOSSUS MANDOKAVA	holotype	0	1
HOLOTYPE OF AMPHIGLOSSUS MINUTUS	holotype	0	1
HOLOTYPE OF AMPHIGLOSSUS PUNCTATUS	holotype	0	1
HOLOTYPE OF AMPHISBAENA MINUTA, HULSE AND MCCOY, 1979, ANN. CARNEGIE MUS., 48:2	holotype	0	1
HOLOTYPE OF AMPHISBAENA STEJNEGERI	holotype	0	1
HOLOTYPE OF AMYDA SPINIFERA HARTWEGI	holotype	0	1
HOLOTYPE OF ANADIA ALTASERRANIA	holotype	0	1
HOLOTYPE OF ANADIA PULCHELLA	holotype	0	1
HOLOTYPE OF ANOLIS  STEINBACHI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:308	holotype	0	1
HOLOTYPE OF ANOLIS ADLERI	holotype	0	1
HOLOTYPE OF ANOLIS BAHORUCOENSIS SOUTHERLANDI, SCHWARTZ, 1978, J. HERPETOL., 12:357	holotype	0	1
HOLOTYPE OF ANOLIS BALEATUS SAMANAE, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:130	holotype	0	1
HOLOTYPE OF ANOLIS BALEATUS SCELESTUS, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:135	holotype	0	1
HOLOTYPE OF ANOLIS BALEATUS SUBLIMIS, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:124	holotype	0	1
HOLOTYPE OF ANOLIS BONAIRENSIS	holotype	0	1
HOLOTYPE OF ANOLIS COBANENSIS	holotype	0	1
HOLOTYPE OF ANOLIS CORTEZI	holotype	0	1
HOLOTYPE OF ANOLIS CRISTATELLUS COOKI	holotype	0	1
HOLOTYPE OF ANOLIS EQUESTRIS PALARDIS, SCHWARTZ, 1964, BULL. MUS. COMP. ZOOL., 131:416	holotype	0	1
HOLOTYPE OF ANOLIS EUGENEGRAHAMI, SCHWARTZ, 1978, ANN. CARNEGIE MUS., 47:266	holotype	0	1
HOLOTYPE OF ANOLIS FOWLERI, SCHWARTZ, 1973, ANN. CARNEGIE MUS., 44:186	holotype	0	1
HOLOTYPE OF ANOLIS GAIGEI	holotype	0	1
HOLOTYPE OF ANOLIS HAGUEI	holotype	0	1
HOLOTYPE OF ANOLIS KIDDERI	holotype	0	1
HOLOTYPE OF ANOLIS RUTHVENI	holotype	0	1
HOLOTYPE OF ANOLIS SOLITARIUS	holotype	0	1
HOLOTYPE OF ANOLIS STEINBACHI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:308	holotype	0	1
Holotype of Anomalurus beecrofti chapini (Allen, 1922)	holotype	0	1
Holotype of Anoura geoffroyi peruana (Tschudi)	holotype	0	1
Holotype of Anourosorex squamipes squamipes (Milne-Edwards)	holotype	0	1
HOLOTYPE OF ANOUS STOLIDUS RIDGWAYI, ANTHONY, A. W. 1898. TWO NEW BIRDS FROM THE PACIFIC COAST OF AMERICA. AUK, 36-38. PAGE 36, PUBLISHED JANUARY 1898.	holotype	0	1
Holotype of Antechinus naso naso ((Jentink))	holotype	0	1
Holotype of Antechinus naso tafa ((Tate & Archbold))	holotype	0	1
