"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
"Some variability to trace embryo",,,0,"John Wieczorek","2017-08-25"
"Some well commenced. One cartila",,,0,"John Wieczorek","2017-08-25"
"Some well incubated, some fresh",,,0,"John Wieczorek","2017-08-25"
"Some well started, some fresh.",,,0,"John Wieczorek","2017-08-25"
"some what",,,0,"John Wieczorek","2017-08-25"
"some--addled/infertile",,,0,"John Wieczorek","2017-08-25"
"Something",,,0,"John Wieczorek","2017-08-25"
"Somewhat",,,0,"John Wieczorek","2017-08-25"
"somewhat advanced",,,0,"John Wieczorek","2017-08-25"
"somewhat advanced (6 days)",,,0,"John Wieczorek","2017-08-25"
"Somewhat advanced (7 days)",,,0,"John Wieczorek","2017-08-25"
"Somewhat advanced but variable",,,0,"John Wieczorek","2017-08-25"
"somewhat incubated",,,0,"John Wieczorek","2017-08-25"
"Somewhat progressed",,,0,"John Wieczorek","2017-08-25"
"somewhat started",,,0,"John Wieczorek","2017-08-25"
"Somewhat-not much",,,0,"John Wieczorek","2017-08-25"
"Somm",,,0,"John Wieczorek","2017-08-25"
"sp",,,0,"John Wieczorek","2017-08-25"
"SP26, Specimen intact; nest in 8",,,0,"John Wieczorek","2017-08-25"
"SP26, Specimen intact; nest in 8 exclosure. Nest m",,,0,"John Wieczorek","2017-08-25"
"SP33, specimen intact. Nest mate",,,0,"John Wieczorek","2017-08-25"
"SP33, specimen intact. Nest material collected",,,0,"John Wieczorek","2017-08-25"
"SP55, both eggs with large crack",,,0,"John Wieczorek","2017-08-25"
"SP55, both eggs with large cracks; not mentioned w",,,0,"John Wieczorek","2017-08-25"
"SP61, specimen intact. Nest mate",,,0,"John Wieczorek","2017-08-25"
"SP61, specimen intact. Nest material collected",,,0,"John Wieczorek","2017-08-25"
"SP69, egg slightly cracked. Nest",,,0,"John Wieczorek","2017-08-25"
"SP69, egg slightly cracked. Nest site in exclosure",,,0,"John Wieczorek","2017-08-25"
"Spawn",,,0,"John Wieczorek","2017-08-25"
"Spermatophore",,,0,"John Wieczorek","2017-08-25"
"Spermatophores",,,0,"John Wieczorek","2017-08-25"
"spike",,,0,"John Wieczorek","2017-08-25"
"Spike buck, ca. 1.5 years",,,0,"David Bloom","2017-12-29"
"spike horn",,,0,"John Wieczorek","2017-08-25"
"spoiled",,,0,"John Wieczorek","2017-08-25"
"spotted egg",,,0,"John Wieczorek","2017-08-25"
"Squabed just formed",,,0,"John Wieczorek","2017-08-25"
"Sr. legade",,,0,"John Wieczorek","2017-08-25"
"SS",,,1,"John Wieczorek","2017-08-25"
"stage 1",,,0,"John Wieczorek","2017-08-25"
"Stage of Incubation - 1st",,,0,"John Wieczorek","2017-08-25"
"Stage of Incubation - Beginning",,,0,"John Wieczorek","2017-08-25"
"stagnate deserted",,,0,"John Wieczorek","2017-08-25"
"stained",,,0,"John Wieczorek","2017-08-25"
"stale",,,0,"John Wieczorek","2017-08-25"
"Stale And Abandoned",,,0,"John Wieczorek","2017-08-25"
"Stale- incomplete set",,,0,"John Wieczorek","2017-08-25"
"Stared",,,0,"John Wieczorek","2017-08-25"
"Staring to show blood",,,0,"John Wieczorek","2017-08-25"
"stark",,,0,"John Wieczorek","2018-10-10"
"start",,,0,"John Wieczorek","2017-08-25"
"starte",,,0,"John Wieczorek","2017-08-25"
"Started",,,0,"John Wieczorek","2017-08-25"
"started - advanced",,,0,"John Wieczorek","2017-08-25"
"Started - showing blood",,,0,"John Wieczorek","2017-08-25"
"started & fresh",,,0,"John Wieczorek","2017-08-25"
"Started ( 1 infertile)",,,0,"John Wieczorek","2017-08-25"
"Started (1); well started (2); a",,,0,"John Wieczorek","2017-08-25"
"Started (1); well started (2); advanced (1)",,,0,"John Wieczorek","2017-08-25"
"Started (1/4)",,,0,"John Wieczorek","2017-08-25"
"Started (-1/4)",,,0,"John Wieczorek","2017-08-25"
"Started (1/8)",,,0,"John Wieczorek","2017-08-25"
"started (3 day)",,,0,"John Wieczorek","2017-08-25"
"started (3-5 days)",,,0,"John Wieczorek","2017-08-25"
"Started (4)",,,0,"John Wieczorek","2017-08-25"
"started (about 1/2)",,,0,"John Wieczorek","2017-08-25"
"started (about 1/5)",,,0,"John Wieczorek","2017-08-25"
"Started (blood)",,,0,"John Wieczorek","2017-08-25"
"started (ea. 1/8)",,,0,"John Wieczorek","2017-08-25"
"Started 1/2 inc.",,,0,"John Wieczorek","2017-08-25"
"started 1/3",,,0,"John Wieczorek","2017-08-25"
"Started 1/4",,,0,"John Wieczorek","2017-08-25"
"Started 2 infertile",,,0,"John Wieczorek","2017-08-25"
"Started 26 May 1987",,,0,"John Wieczorek","2017-08-25"
"started 3 days",,,0,"John Wieczorek","2017-08-25"
"Started 4-6 days",,,0,"John Wieczorek","2017-08-25"
"Started about  (1/3)",,,0,"John Wieczorek","2017-08-25"
"started about 1/5",,,0,"John Wieczorek","2017-08-25"
"started and 3 days",,,0,"John Wieczorek","2017-08-25"
"started and 3 fresh",,,0,"John Wieczorek","2017-08-25"
"started and addled",,,0,"John Wieczorek","2017-08-25"
"Started and fresh",,,0,"John Wieczorek","2017-08-25"
"Started and fresh (2)",,,0,"John Wieczorek","2017-08-25"
"started and hatched",,,0,"John Wieczorek","2017-08-25"
"started and trace",,,0,"John Wieczorek","2017-08-25"
"Started And Two Days",,,0,"John Wieczorek","2017-08-25"
"Started blood traces",,,0,"John Wieczorek","2017-08-25"
"started bloody",,,0,"John Wieczorek","2017-08-25"
"Started- bloody yellow",,,0,"John Wieczorek","2017-08-25"
"started in 4",,,0,"John Wieczorek","2017-08-25"
"started in all",,,0,"John Wieczorek","2017-08-25"
"started in all but two eggs",,,0,"John Wieczorek","2017-08-25"
"started in all eggs",,,0,"John Wieczorek","2017-08-25"
"Started in inc.",,,0,"John Wieczorek","2017-08-25"
"started in one, considerable in ",,,0,"John Wieczorek","2017-08-25"
"started in one, considerable in other",,,0,"John Wieczorek","2017-08-25"
"Started in some eggs",,,0,"John Wieczorek","2017-08-25"
"Started in some, others fresh",,,0,"John Wieczorek","2017-08-25"
"Started in some.",,,0,"John Wieczorek","2017-08-25"
"started in some. 2 fresh. Probab",,,0,"John Wieczorek","2017-08-25"
"started in some. 2 fresh. Probably complete",,,0,"John Wieczorek","2017-08-25"
"started in three of the four egg",,,0,"John Wieczorek","2017-08-25"
"started in three of the four eggs",,,0,"John Wieczorek","2017-08-25"
"Started in two eggs",,,0,"John Wieczorek","2017-08-25"
"Started Jelley",,,0,"John Wieczorek","2017-08-25"
"Started just",,,0,"John Wieczorek","2017-08-25"
"Started- obviously the work of t",,,0,"John Wieczorek","2017-08-25"
"Started- obviously the work of two birds",,,0,"John Wieczorek","2017-08-25"
"started one fourth",,,0,"John Wieczorek","2017-08-25"
"Started or well started",,,0,"John Wieczorek","2017-08-25"
"started slight",,,0,"John Wieczorek","2017-08-25"
"Started slightly",,,0,"John Wieczorek","2017-08-25"
"started slightly showing",,,0,"John Wieczorek","2018-10-10"
"Started to 1/2",,,0,"John Wieczorek","2017-08-25"
"started to 3/4",,,0,"John Wieczorek","2017-08-25"
"Started to adv.",,,0,"John Wieczorek","2017-08-25"
"Started To Advanced",,,0,"John Wieczorek","2017-08-25"
"started to fresh",,,0,"John Wieczorek","2017-08-25"
"started to half",,,0,"John Wieczorek","2017-08-25"
"started to over 1/3",,,0,"John Wieczorek","2017-08-25"
"Started to sit",,,0,"John Wieczorek","2017-08-25"
"Started well",,,0,"John Wieczorek","2017-08-25"
"started yesterday (23)",,,0,"John Wieczorek","2017-08-25"
"started, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"started, 2 infertile",,,0,"John Wieczorek","2017-08-25"
"Started, 3-5 days",,,0,"John Wieczorek","2017-08-25"
"STARTED, BIRD FLUSHED",,,0,"John Wieczorek","2017-08-25"
"Started, But Slight",,,0,"John Wieczorek","2017-08-25"
"Started, eyes formed.",,,0,"John Wieczorek","2017-08-25"
"started, infertile",,,0,"John Wieczorek","2017-08-25"
"Started, One Fresh",,,0,"John Wieczorek","2017-08-25"
"started, slight",,,0,"John Wieczorek","2017-08-25"
"Started.",,,0,"John Wieczorek","2017-08-25"
"started. 2 more than others",,,0,"John Wieczorek","2017-08-25"
"Started. About fresh to several ",,,0,"John Wieczorek","2017-08-25"
"Started. About fresh to several days",,,0,"John Wieczorek","2017-08-25"
"Started. About half.",,,0,"John Wieczorek","2017-08-25"
"Started; 1 Fresh",,,0,"John Wieczorek","2017-08-25"
"Started; 1 fresh.",,,0,"John Wieczorek","2017-08-25"
"started; 2 fresh",,,0,"John Wieczorek","2017-08-25"
"started; 3/4 incubated",,,0,"John Wieczorek","2017-08-25"
"started; about 1/4 along",,,0,"John Wieczorek","2017-08-25"
"Started; bloody",,,0,"John Wieczorek","2017-08-25"
"Started; infertile",,,0,"John Wieczorek","2017-08-25"
"Started; one egg only was fertil",,,0,"John Wieczorek","2017-08-25"
"Started\",,,0,"John Wieczorek","2017-08-25"
"started-bloody",,,0,"John Wieczorek","2017-08-25"
"Started-nest empty on the 29th &",,,0,"John Wieczorek","2017-08-25"
"Started-nest empty on the 29th & held same eggs on",,,0,"John Wieczorek","2017-08-25"
"starteed",,,0,"John Wieczorek","2017-08-25"
"Starterd",,,0,"John Wieczorek","2017-08-25"
"Starting",,,0,"John Wieczorek","2017-08-25"
"starting to dicompose",,,0,"John Wieczorek","2017-08-25"
"Stated",,,0,"John Wieczorek","2017-08-25"
"sterile",,,0,"John Wieczorek","2017-08-25"
"sterile - probably sat upon 5 da",,,0,"John Wieczorek","2017-08-25"
"sterile to 1/3",,,0,"John Wieczorek","2017-08-25"
"Stillborn",,,0,"John Wieczorek","2017-08-25"
"stillborn calf",,,0,"John Wieczorek","2017-08-25"
"stillborn with egg sac",,,0,"John Wieczorek","2017-08-25"
"stillborn with yolk sac",,,0,"John Wieczorek","2017-08-25"
"STOMACH ONLY",,,0,"John Wieczorek","2017-08-25"
"stopped often begun",,,0,"John Wieczorek","2017-08-25"
"Striclty fresh eggs!",,,0,"John Wieczorek","2017-08-25"
"stricly fresh",,,0,"John Wieczorek","2017-08-25"
"Strictly fresh",,,0,"John Wieczorek","2017-08-25"
"Strictly fresh, All fresh",,,0,"John Wieczorek","2017-08-25"
"strong",,,0,"John Wieczorek","2017-08-25"
"sub",,,0,"John Wieczorek","2017-08-25"
"sub ad",,,0,"John Wieczorek","2017-08-25"
"sub ad.",,,0,"John Wieczorek","2017-08-25"
"sub adt",,,1,"David Bloom","2018-06-13"
"sub adult",,,0,"John Wieczorek","2017-08-25"
"SUB ADULT [SY?] ; NO BURSA",,,0,"John Wieczorek","2017-08-25"
"SUB ADULT BY PLUMAGE",,,0,"John Wieczorek","2017-08-25"
"SUB ADULT,",,,0,"John Wieczorek","2017-08-25"
"Sub Adult?","subadult",,1,"John Wieczorek","2017-08-25"
"sub(?)adult",,,0,"John Wieczorek","2017-08-25"
"sub.",,,0,"John Wieczorek","2017-08-25"
"Sub. Ad.",,,0,"John Wieczorek","2017-08-25"
"Sub.Ad.",,,0,"John Wieczorek","2017-08-25"
"Sub?",,,0,"John Wieczorek","2017-08-25"
"suba",,,0,"John Wieczorek","2017-08-25"
"sub-abult",,,0,"John Wieczorek","2017-08-25"
"subad",,,0,"John Wieczorek","2017-08-25"
"SUB-AD",,,0,"John Wieczorek","2017-08-25"
"subad (2 yr)",,,0,"John Wieczorek","2017-08-25"
"SUBAD PLUMAGE; BURSA 10 X 8 MM",,,0,"John Wieczorek","2017-08-25"
"subad.",,,0,"John Wieczorek","2017-08-25"
"sub-ad.",,,0,"John Wieczorek","2017-08-25"
"SUBAD. PLUMAGE; NO BURSA; SKULL ",,,0,"John Wieczorek","2017-08-25"
"subadt",,,0,"John Wieczorek","2017-08-25"
"sub-adt",,,1,"David Bloom","2018-06-13"
"sub-adt-maybe",,,1,"David Bloom","2018-06-13"
"subadult","subadult",,1,"John Wieczorek","2017-08-25"
"Sub-adult",,,0,"John Wieczorek","2017-08-25"
"subadult (?)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (17 days)",,,0,"John Wieczorek","2017-08-25"
"subadult (1st winter)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (28 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (29 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (32 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (33 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (34 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (36 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (37 days)",,,0,"John Wieczorek","2017-08-25"
"subadult (3rd molars unerupted)",,,0,"David Bloom","2017-12-29"
"sub-adult (40 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (44 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (46 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (49 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (53 days)",,,0,"John Wieczorek","2017-08-25"
"sub-adult (53days)",,,0,"John Wieczorek","2017-08-25"
"subadult (all teeth appear to be",,,0,"David Bloom","2017-12-29"
"Subadult (by plumage)",,,0,"John Wieczorek","2018-10-10"
"sub-adult (gray on thighs)","subadult",,1,"David Bloom","2019-09-03"
"subadult (lower canines erupting",,,0,"David Bloom","2017-12-29"
"subadult (M3 erupting)",,,0,"David Bloom","2017-12-29"
"subadult (M3 erupting, I2 expose",,,0,"David Bloom","2017-12-29"
"SUBADULT ; BURSA 1.5 X 1.5 MM, W",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 10 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 10 X 10 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 10 X 5 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 10 X 8 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 13 X 8 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 15 X 10 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 20 X 10 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 20 X 20 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 20 X 24 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 25 X 15 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 25 X 17 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA 35 X 15 MM;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; BURSA NOT FOUND;",,,0,"John Wieczorek","2017-08-25"
"SUBADULT ; SKULL 1/2 OSS",,,0,"John Wieczorek","2017-08-25"
"Sub-adult ?",,,0,"John Wieczorek","2017-08-25"
"Sub-Adult [Male ?]","subadult",,1,"John Wieczorek","2017-08-25"
"Sub-adult [Sex ?]","subadult",,1,"John Wieczorek","2017-08-25"
"subadult \ adult",,,0,"John Wieczorek","2017-08-25"
"subadult | Euring 10",,,0,"John Wieczorek","2017-08-25"
"subadult | Euring 3",,,0,"John Wieczorek","2017-08-25"
"subadult | Euring 5",,,0,"John Wieczorek","2017-08-25"
"subadult | Euring 7",,,0,"John Wieczorek","2017-08-25"
"subadult | Euring 8",,,0,"John Wieczorek","2017-08-25"
"subadult | Euring 9",,,0,"John Wieczorek","2017-08-25"
"SUBADULT BY PLUMAGE",,,0,"John Wieczorek","2017-08-25"
"Subadult Female","subadult",,1,"John Wieczorek","2017-08-25"
"Sub-adult Female","subadult",,1,"John Wieczorek","2017-08-25"
"subadult juvenile",,,0,"John Wieczorek","2017-08-25"
"Subadult Male","subadult",,1,"John Wieczorek","2017-08-25"
"Sub-adult Male","subadult",,1,"John Wieczorek","2017-08-25"
"SUBADULT MALE PLUMAGE; NO BURSA;",,,0,"John Wieczorek","2017-08-25"
"subadult male, Liver Tissue take",,,0,"John Wieczorek","2017-08-25"
