"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"-100.5006470000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5007130000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5007350000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5007820000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5008510000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5008770000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5011690000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5012800000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5015580000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5016260000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5018860000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5019010000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5027220000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5029720000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5029750000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5040810000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5054180000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5055080000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5086410000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5087060000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5094550000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5108550000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5113260000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5115070000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5115470000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5119010000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5122350000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5128850000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5129710000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5134960000","not recorded",,1,"John Wieczorek","2020-05-12",
