"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"HOLOTYPE OF ACANTHAGENYS RUFOGULARIS PARKERI, PARKES, K. C. 1980. A NEW SUBSPECIES OF THE SPINY-CHEEKED HONEYEATER ACANTHAGENYS RUFOGULARIS, WITH NOTES ON GENERIC RELATIONSHIPS. BULL. BRIT. ORN. CLUB, 143-147. PAGE 144, PUBLISHED 20 JUNE 1980.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Accentor erythropygius (Swinhoe, 1870)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Accentor talifuensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Acomys russatus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ACRIS GRYLLUS BLANCHARDI, HARPER, 1947, PROC. BIOL. SOC. WASHINGTON, 60:39","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ADELPHICOS VERAEPACIS","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Aepeomys fuscatus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Aepeomys lugens (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Aethomys kaiseri vernayi (Hill & Carter)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Aethomys namaquensis ((Smith))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AGELAIUS CYANOPUS XENICUS, PARKES, K. C. 1966. GEOGRAPHIC VARIATION IN AZARA'S MARSH BLACKBIRD, AGELAIUS CYANOPUS. PROC. BIOL. SOC. WASH., 1-12. PAGE 8, PUBLISHED 23 MAY 1966.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AGELAIUS THILIUS ALTICOLA, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 219, PUBLISHED 26 NOVEMBER 1932.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AGKISTRODON MOKASEN LATICINCTUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AGYRTRIA HOLLANDI, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 173, PUBLISHED 8 AUGUST 1913.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ailurops ursinus togianus ((Tate))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF AIMOPHILA RUFICEPS CANESCENS, TODD, W. E. C. 1922. A NEW SPARROW FROM SOUTHERN CALIFORNIA. CONDOR, 126-127. PAGE 126, PUBLISHED 29 JULY 1922.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Akodon affinis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
