"Waterbody"
"Río de Oro"
"Río del Bajar"
"Río Ebro"
"Río El Chorreadero"
"Río Fenix Chico"
"Río Fuerte"
"Río General"
"Río Gol Gol"
"Rio Grande"
"Río Grande"
"Río Grande de Santiago"
"Río Grey"
"Rio Guanabara"
"Rio Guaratuba"
"Río Guayalejo"
"Río Hanabana"
"Río Hollin"
"Río Hondo"
"Río Huelde"
"Rio Ica"
"Río Ichilo"
"Río Jalatengo"
"Rio Japura"
"Río Jelashte"
"Río Jorco"
"Rio Juruá"
"Rio Jutaí"
"Río Lacantun"
"Río Laguna Grande"
"Río Las Truchas"
"Río Lerma"
"Río Lingue"
"Río Loa"
"Río Macho"
"Río Madre de Dios"
"Río Magdalena"
"Río Maipo"
"Río Malatenco"
"Río Malatengo"
"Río Mapiri"
"Río Marañon"
"Río Marañón"
"Río Mawarinuma"
"Río Mayo"
"Rio Mearim"
"Río Molino"
"Rio Muni"
"Río Nangaritza"
"Río Napo"
"Río Naranjo"
"Río Nazas"
"Rio Negro"
"Río Novillero"
"Río Ñuble"
"Río Orinoco"
"Río Otopa"
"Río Paicavi"
"Río Pance"
"Río Panuco"
"Río Papaloapan"
"Rio Paraná"
"Río Pastaza"
"Río Pastaza watershed"
"Río Patía"
"Río Payamino"
"Río Perené"
"Río Piedras"
"Río Piedras Verdes"
"Río Pilatón -"
"Río Pisque"
"Rio Purus"
"Río Raposo"
"Río Salado"
"Río San Carlos"
"Río San Francisco"
"Río San Juan"
"Río San Miguel"
"Río San Pedro"
"Río San Pedro Mezquital"
"Río Sandial"
"Río Santa"
"Río Santa Fe"
"Río Santa Maria"
"Río Sarabia"
"Río Sarapiqui"
"Río Sierpe"
"Rio Solimões"
"Río Soto la Marina"
"Río Sucio"
"Río Surutú"
"Rio Tapajós"
"Río Teapa"
"Rio Tefé"
"Río Tehuantepec"
"Río Tenango"
"Río Tiribi"
"Río Toche"
"Río Toltén"
"Río Tonto"
"Rio Trombetas"
"Río Tulumayo"
"Río Tusubres"
"Río Ucayali"
"Río Uracoa"
"Río Usumacinta"
"Río Ventuari-Orinoco"
"Río Verde, Río Grande de Santiago"
"Río Viscaya"
"Rio Xingu"
"Río Yali"
"Río Yapacani"
"Río Yaqui"
"Río Yaracuy"
"Río Yucao"
"Río Zamora"
"Río Zapote"
"Río Zongo"
"River Styx"
"Roanoke River"
"Roanoke-Dan River"
"Rock River"
"Rosalia Bay"
"Rose Lake"
"Ross Sea"
"Round Lake"
"Ruaha River, Rufiji River"
"Ruvu River"
"Sabana River"
"Sabine Lake"
"Sabine River"
"Saco Bay"
"Sacramento River"
"Saginaw Bay"
"Saint Clair River"
"Saint Croix River"
"Saint Francis"
"Saint Francis River"
"Saint John River"
"Saint Johns River"
"Saint Joseph River"
"Saint Lawrence River"
"Saint Lawrence River, Grass River"
"Saint Mary's River"
"Saint Regis River"
"Salado Creek"
"Salinas River"
"Salish Sea"
"Salkehatchee River"
"Salmon River, Saint Lawrence River"
"Salt River"
"Salt River, Ohio River"
"Salton Sea"
"Saluda River"
"Samish Bay"
"San Antonio River"
"San Francisco Bay"
"San Gabriel River"
"San Jacinto River"
"San Joaquin River"
"San Marcos River"
"San Simone River"
"Sandwich Bay"
"Sandy River"
"Sandy River, Ohio River"
"Sangamon River"
"Santa Ana River"
"Santa Cruz Bay"
"Sante Fe River"
"Santee River"
"Santee River, Cooper River"
"Sargasso Sea"
"Satilla River"
"Savannah River"
"Schroon River"
"Scioto River"
"Scioto River, Ohio River"
"Scotia Sea"
"Scotts Lake"
"Sea of Azov"
"Sea of Japan"
"Sea of Okhotsk"
"Sebewa Creek"
"Sechart Channel"
"Seekonk River"
"Sekong River"
"Semliki River"
"Seneca River"
"Seronera River"
"Severna River"
"Sevier River"
"Shavehead Lake"
"Shelkikof Strait"
"Shelter Island Sound"
"Shenandoah"
"Shenandoah River"
"Shoal Lake"
"Sibiti River"
"Sigi River"
"Siltcoos Lake"
"Silver Lake"
"Silverbrook Creek"
"Sinnamary River"
"Skeena River"
"Slave River Delta"
"Smith Sound"
"Snake River"
"Snohomish River"
"Sodus Bay"
"Song River"
"South Atlantic Ocean"
"South China Sea"
"South Fork Holston River"
"South Indian Ocean"
"South Lake"
"South Pacific Ocean"
"Southeast Pacific Ocean"
"Southern Ocean"
"Southwest Pacific Ocean"
"Sowannee River"
"Spanaway Lake"
"St Lawrence River"
"Stag Bay"
"Stepovak Bay"
"Stigall's Lake"
"Stikine River"
"Stone Lake"
"Stony Creek"
"Strait of Belle Isle"
"Strait of Georgia"
"Strait of Juan de Fuca"
"Strait of Malacca"
"Straits of Florida"
"Stuart Strait"
"Suan River"
"Sullivan Creek"
"Sulphur River"
"Susquehana River"
"Susquehanna River"
"Susquehanna River, Potomac River"
"Suwannee River"
"Syr Darya"
"Syr Darya River"
"Takatu River"
"Tallahatchie River"
"Tallapoosa River"
"Tampa Bay"
"Tana River"
"Tanana River"
"Tangipahoa River"
"Tar River"
"Tasman Sea"
"Tasmanian Seas"
"Taughannock Creek"
"Taunton River"
"Tchefuncte River"
"Te Nggano"
"Tekezé River"
"Tenacatita Bay"
"Tenkegnei Bay"
"Tennessee River"
"Tennessee River, Clinch River"
"Tennessee River, Elk River"
"Tennessee River, Little River"
"Thompson Creek"
"Toccoa River"
"Tombigbee River"
"Toms River"
"Town Corner Lake"
"Trinity River"
"Tuckasegee River"
"Tug Fork River"
"Tug River"
"Turkey River"
"Turkwell River"
"Tygart River"
"Tygart Valley River"
"Umba River"
"Unalaska Bay"
"Unimak Pass"
"Union Bay"
"Union Lake"
"Upper Allegheny River"
"Upper Hudson River"
"Upper New York Harbor"
"Upper Tombigbee River"
"Upper Yukon River"
"Vaal River"
"Volga River"
"Wabash Lake"
"Wabash River"
"Wabasis Lake"
"Waccamaw River"
