"u_datumstr","epsg"
"16.8",
"16.8333333333333",
"-16.91549",
"-16.93717",
"16.9666666666667",
"16/08/1958",
"16/08/1972",
"161",
"1628.192",
"16404",
"16770",
"16903",
"16967",
"16969",
"16971",
"16972",
"16976",
"16981",
"16989",
"16991",
"16996",
"17",
"17.0333333333333",
"-17.03563",
"-17.04372",
"17.1166666666667",
"-17.1459",
"17.1666666666667",
"-17.17",
"17.1833333333333",
"17.2166666666667",
"-17.22805",
"-17.25",
"17.28333",
"-17.32964",
"-17.33337",
"17.34244",
"-17.35705",
"-17.38758",
"-17.4096",
"-17.446666",
"-17.56754",
"-17.57592",
"-17.57926",
"17.5833333333333",
"-17.58908",
"17.7666666666667",
"-17.81781",
"-17.82281",
"17.8666666666667",
"-17.86996",
"17/06/1949",
"1700",
"17061",
"17083",
"17084",
"17185",
"172",
"17260",
"1728",
"17367",
"174",
"17674",
"17694",
"177.06M",
"1780",
"1787.192",
"179",
"17938",
"17NT52",
"17NV79",
"18",
"-18.05",
"-18.112602",
"-18.1139",
"-18.114312",
"-18.114748",
"-18.114888",
"-18.114922",
"-18.11502",
"-18.115055",
"-18.11536",
"-18.115413",
"-18.11565",
"-18.11642",
"-18.116467",
"-18.116572",
"-18.1167",
"-18.116732",
"-18.116743",
"-18.116875",
"-18.116975",
"-18.117068",
"-18.117118",
"-18.117382",
"-18.11805",
"-18.118118",
"-18.118378",
"-18.118713",
"-18.12944",
"18.1333333333333",
"-18.147132",
"-18.16667",
"18.25",
"-18.25",
"18.35",
"-18.39333",
"18.5666666666667",
"18.666667",
"-18.71546",
"-18.72198",
"18.7666666666667",
"18.8951340000",
"-18.97234",
"1800",
"1807",
"185",
"18523",
"18579",
"186_WGS_1966",4760
"186_WGS_1967",4760
"186_WGS_1968",4760
"186_WGS_1969",4760
"186_WGS_1970",4760
"186_WGS_1971",4760
"186_WGS_1972",4322
"186_WGS_1973",4322
"186_WGS_1974",4322
"186_WGS_1975",4322
"186_WGS_1976",4322
"186_WGS_1977",4322
"186_WGS_1978",4322
"186_WGS_1979",4322
"186_WGS_1980",4322
"186_WGS_1981",4322
"186_WGS_1982",4322
"186_WGS_1983",4322
"186_WGS_1984",4326
"186_WGS_1985",4326
"186_WGS_1986",4326
"186_WGS_1987",4326
"186_WGS_1988",4326
"186_WGS_1989",4326
"186_WGS_1990",4326
"186_WGS_1991",4326
"186_WGS_1992",4326
"186_WGS_1993",4326
"186_WGS_1994",4326
"186_WGS_1995",4326
"186_WGS_1996",4326
"186_WGS_1997",4326
"186_WGS_1998",4326
"186_WGS_1999",4326
"186_WGS_2000",4326
"186_WGS_2001",4326
"186_WGS_2002",4326
"186_WGS_2003",4326
"186_WGS_2004",4326
"186_WGS_2005",4326
"186_WGS_2006",4326
"186_WGS_2007",4326
"186_WGS_2008",4326
"186_WGS_2009",4326
"186_WGS_2010",4326
"186_WGS_2011",4326
"186_WGS_2012",4326
"186_WGS_2013",4326
"186_WGS_2014",4326
"186_WGS_2015",4326
"186_WGS_2016",4326
"186_WGS_2017",4326
"186_WGS_2018",4326
"186_WGS_2019",4326
"186_WGS_2020",4326
"186_WGS_2021",4326
"186_WGS_2022",4326
"186_WGS_2023",4326
"186_WGS_2024",4326
"186_WGS_2025",4326
"186_WGS_2026",4326
"186_WGS_2027",4326
"186_WGS_2028",4326
"186_WGS_2029",4326
"186_WGS_2030",4326
"186_WGS_2031",4326
"186_WGS_2032",4326
"186_WGS_2033",4326
"186_WGS_2034",4326
"186_WGS_2035",4326
"186_WGS_2036",4326
"186_WGS_2037",4326
"186_WGS_2038",4326
