lifestage	standard	vetted
FEMALE FLEDGLING	fledgling	1
FEMALE NO EMB-VASCULAR		1
FEMALE PLUMAGE. SEX ?		1
FEMALE SEEN INCUBATING AT TIME O		1
FEMALE SEEN INCUBATING AT TIME OF COLLECTION.		1
FEMALE TAKEN		1
FEMALE(IMM)	immature	1
FEMALE, ADULT	adult	1
FEMALE, FLACCID		1
FEMALE, GRANULAR		1
FEMALE, IMM	immature	1
FEMALE, IMMATURE	immature	1
FEMALE, IMMATURE?	immature	1
FEMALE, POST-LACTATING	adult	1
FEMALE-ADULT	adult	1
FEMALE-GRANULAR		1
FEMALE-HY		1
FEMALE-IMM.	immature	1
FEMALE-JUV	juvenile	1
FESH	fresh	1
FETAL/NEONATE		1
FETAL-NEWBORN		1
FETHERED EMBRYOS	feathered embryos	1
FETUS	fetus	1
FIRST YEAR	juvenile	1
FIRST YEAR MALE	first year	1
FL	larva	1
'FL'	larva	1
FLEDGELING	fledgling	1
FLEDGLING	fledgling	1
FLEDGLING [FEMALE ?]	fledgling	1
FLEDGLING [SEX ?]	fledgling	1
FLEDGLING FEMALE	fledgling	1
FLEDGLING MALE	fledgling	1
FLEDGLING/UNKNOWN	fledgling	1
FLYING YOUNG OF THE YEAR		1
F-NOT STATED ON TAG		1
FOURTH YEAR	fourth year	1
FR	larva	1
G	adult	1
G. ADVANCED	adult	1
GF	adult	1
GF(3)	adult	1
GF(4)	adult	1
GF(5)	adult	1
GF(6)	adult	1
GF(7)	adult	1
GF(8)	adult	1
GF(9)	adult	1
H	unknown	1
HATCH YEAR	juvenile	1
HATCH YR		1
HATCHING EGG	hatching egg	1
HEAD ONLY		1
HEADS ONLY		1
HEMBRA	unknown	1
HEMBRA 2 PARES MA	adult	1
HEMBRA A	adult	1
HEMBRA AD	adult	1
HEMBRA AD IN	adult	1
HEMBRA AD MA	adult	1
HEMBRA AD NI	adult	1
HEMBRA AI	adult	1
HEMBRA AM	adult	1
HEMBRA GESTAL	adult	1
HEMBRA INM	adult	1
HEMBRA J	juvenile	1
HEMBRA JUV	juvenile	1
HEMBRA LAC	adult	1
HEMBRA LACTANDO	adult	1
HEMBRA MA	adult	1
HEMBRA MAMAS	adult	1
HEMBRA NO LAC	adult	1
HEMBRA PREG 2-2 EMB 15MM	adult	1
HEMBRA SA	subadult	1
HERMAPHRODIDIC		1
HY	hatch-year	1
HY (P10 EXTENDS BEYOND P COVERTS)	hatch-year	1
HY BIRD	hatch-year	1
HYBRID		1
HYF	hatch-year	1
ILLEGIBLE		1
ILLEGIBLE (SEE CARD)		1
IM	immature	1
IMM	immature	1
IMM MALE	immature	1
IMM.	immature	1
IMM. M	immature	1
IMM; 1 WK OLD		1
IMMATURE	immature	1
IMMATURE (?)	immature	1
IMMATURE (1ST YR)	immature	1
IMMATURE (FALL)	immature	1
IMMATURE (HY)	hatch-year	1
IMMATURE (HY) FEMALE	immature	1
IMMATURE (HY) MALE	immature	1
IMMATURE (NESTLING)	immature	1
IMMATURE (SECOND YEAR)	second-year	1
IMMATURE / HY	immature	1
IMMATURE / HY/SY	immature	1
IMMATURE / SY	immature	1
IMMATURE ?	immature	1
IMMATURE [= FLEDGLING] MALE	fledgling	1
IMMATURE [FEMALE ?]	immature	1
IMMATURE [MALE ?]	immature	1
IMMATURE [SEX ?]	immature	1
IMMATURE BY PLUMAGE	immature	1
IMMATURE FEMALE	immature	1
IMMATURE FEMALE ?	immature	1
IMMATURE M	immature	1
IMMATURE MALE	immature	1
IMMATURE SKULL 40% OSSIFIED	immature	1
IMMATURE SKULL AOUT 30% OSSIFIED	immature	1
IMMATURE SKULL NOT OSS. LARGE 18	immature	1
IMMATURE SKULL NOT OSS. LARGE 189 MM	immature	1
IMMATURE SKULL UNOSSIFIED	immature	1
IMMATURE SNO	immature	1
IMMATURE TO SUB ADULT		1
IMMATURE(?); SKULL 50% OSS.	immature	1
IMMATURE(?); SKULL ALMOST COMPLE	immature	1
IMMATURE(?); SKULL ALMOST COMPLETELY OSS.	immature	1
IMMATURE, 2 DAYS OLD	immature	1
IMMATURE, HY	immature	1
IMMATURE, SKULL 10% OSSIFIED	immature	1
IMMATURE, SKULL 20% OSS.	immature	1
IMMATURE, SKULL NOT OSSIFIED	immature	1
IMMATURE, SKULL OSSIFIED 50%	immature	1
IMMATURE, SKULL WINDOWS	immature	1
IMMATURE.	immature	1
IMMATURE. SKULL 50% OSS.	immature	1
IMMATURE/FEMALE	immature	1
IMMATURE/SKULL OSS.	immature	1
IMMATURE/SKULL UNOSSIFIED	immature	1
IMMATURE;  1 YEAR OLD	immature	1
IMMATURE; FLEDGLING	immature	1
IMMATURE; HATCHING YEAR	immature	1
IMMATURE; LARGE SKULL WINDOWS	immature	1
IMMATURE; NESTLING	immature	1
IMMATURE; OSS. INCOMPLETE	immature	1
IMMATURE; RECENTLY FLEDGED YOUNG	'	1
IMMATURE; SKULL <50% OSS.	immature	1
IMMATURE; SKULL 10% OSS.	immature	1
IMMATURE; SKULL 20% OSS.	immature	1
IMMATURE; SKULL 25% OSS.	immature	1
IMMATURE; SKULL 30% OSS.	immature	1
IMMATURE; SKULL 5% OSS.	immature	1
IMMATURE; SKULL 50% OSS.	immature	1
IMMATURE; SKULL 50% OSSIFIED	immature	1
IMMATURE; SKULL 75% OSS.	immature	1
IMMATURE; SKULL 80% OSS.	immature	1
IMMATURE; SKULL 90% OSS.	immature	1
IMMATURE; SKULL 95% OSS.	immature	1
IMMATURE; SKULL 95%OSS.	immature	1
IMMATURE; SKULL CA. 1/3 OSS.	immature	1
IMMATURE; SKULL LESS THAN 50% OS	immature	1
IMMATURE; SKULL LESS THAN 50% OSS.	immature	1
IMMATURE; SKULL NOT OSS.	immature	1
IMMATURE; SKULL OSS.	immature	1
IMMATURE; SKULL OSS. INCOMPLETE	immature	1
IMMATURE; SKULL OSS.?	immature	1
IMMATURE; SKULL PARTIALLY OSS.	immature	1
IMMATURE; SKULL PARTLY OSS	immature	1
IMMATURE; SKULL PARTLY OSS.	immature	1
IMMATURE; SKULL UNOSSIFIED	immature	1
IMMATURE?	immature	1
IMMATURE? SKULL SINGLE	immature	1
IM-MAYBE		1
IN RYE SHOCK, ON OATS		1
J	juvenile	1
J/A	juvenile, adult	1
J?	juvenile	1
J-467, J-468		1
JU	juvenile	1
JUNENILE	juvenile	1
JUNVENILE	juvenile	1
JUNVILE	juvenile	1
JUV	juvenile	1
JUV ?	juvenile	1
JUV NOT OSSIFIED	juvenile	1
JUV OR SUB-AD		1
JUV SFO	juvenile	1
JUV SNO	juvenile	1
JUV.	juvenile	1
JUV.  7D	juvenile	1
JUV. (NEWBORN)	juvenile	1
JUV. MALE	juvenile	1
JUV. PUP	juvenile	1
JUV. SNO	juvenile	1
JUV. TO SMALL AD.	juvenile, young adult	1
JUV.*	juvenile	1
JUV./FYOY	juvenile	1
JUVENIL	juvenile	1
JUVENIL (SEMIADULTO)	juvenile	1
JUVENIL CON SACO VITELINO	juvenile	1
JUVENIL, EN MUDA	juvenile, in molt	1
JUVENIL;E	juvenile	1
JUVENILE	juvenile	1
JUVENILE  (?)	juvenile	1
JUVENILE  ? (SIC)	juvenile	1
JUVENILE - BASIC 2	juvenile	1
JUVENILE (?)	juvenile	1
JUVENILE (BY PLUMAGE)	juvenile	1
JUVENILE (FLEDGLING)	juvenile	1
JUVENILE (PLUMAGE)?	juvenile	1
JUVENILE ?	juvenile	1
JUVENILE [?]		1
JUVENILE [FEMALE ?]	juvenile	1
JUVENILE [FEMALE?]	juvenile	1
JUVENILE [MALE ?]	juvenile	1
JUVENILE [SEX ?]	juvenile	1
JUVENILE 2ND WINTER	juvenile	1
JUVENILE FEMALE	juvenile	1
JUVENILE MALE	juvenile	1
JUVENILE MALE (?)	juvenile	1
JUVENILE, 1/3 OSSIFICATION	juvenile	1
JUVENILE, 60% OSS.	juvenile	1
JUVENILE, ABOUT 1/4 FULL SIZE	juvenile	1
JUVENILE, LARVA	juvenile | larva	1
JUVENILE, SKULL ~1/2 OSSIFIED	juvenile	1
JUVENILE, SKULL 5% OSSIFIED	juvenile	1
JUVENILE, SKULL NOT FULLY OSSIFI	juvenile	1
JUVENILE, SKULL NOT FULLY OSSIFIED	juvenile	1
JUVENILE, SKULL NOT OSSIFIED	juvenile	1
JUVENILE/ ADULT		1
JUVENILE/!ST WINTER	juvenile	1
JUVENILE/IMMATURE	juvenile	1
JUVENILE;  UNDER 2 WEEKS	juvenile	1
JUVENILE; SKULL NOT FULLY OSS.	juvenile	1
JUVENILE; SKULL NOT OSS.	juvenile	1
JUVENILE?	juvenile	1
JUVENILE? SKULL 80% OSS.	juvenile	1
JUVENILES	juvenile	1
JUVENILLE	juvenile	1
JUVENILOE	juvenile	1
JUVENLE	juvenile	1
JUVINILE	juvenile	1
JUVNILE	juvenile	1
JV	juvenile	1
L	larva	1
LAR.SER.(JUVENILES)	larva, juvenile	1
LARVA	larva	1
LARVA(E)	larvae	1
LARVA, ADULT	adult | larva	1
LARVA, EMBRYO		1
LARVA, METAMORPH	larva | metamorph	1
LARVAE	larva	1
LARVAE CELL	larva cell	1
LARVAE REF.	larva	1
LARVAE, JUVENILES	larva, juvenile	1
LARVAL	larva	1
LARVAL COLLECTION	larva	1
LARVAL FISH	larva	1
