preparations	standard	vetted
C&S, RECORDING	cleared and stained | recording	1
C&S, TISSUE	cleared and stained | tissue	1
C&S, TISSUE, DRY, HEMIPENIS	cleared and stained | dry | hemipenis | tissue	1
C&S, TISSUE, FLUID	cleared and stained | fluid | tissue	1
CAPE/PAW/SKEL	cape | paw | skeleton	1
CARAPACE (DRY)	carapace	1
CAST	cast	1
CAST OF UPPER AND LOWER TOOTHROWS	cast (upper and lower tooth rows)	1
CAST SKIN	cast skin	1
CAUDAL VERTEBRAE (DRY)	caudal vertebrae	1
CELLULOID CAST	celluloid cast	1
CENTRUM CERVICAL VERTEBRA.	centrum cervical vertebra	1
CENTRUM EPIPHYSIS	centrum epiphysis	1
CERVICAL VERTEBRA	cervical vertebra	1
CERVICAL VERTEBRA.	cervical vertebra	1
CERVICAL VERTEBRAE	cervical vertebrae	1
CLEARED & STAINED	cleared and stained	1
CLEARED & STAINED - 1	cleared and stained	1
CLEARED AND STAINED	cleared and stained	1
CLEARED AND STAINED SKULL	cleared and stained skull	1
CLEARED AND STAINED SPECIMEN	cleared and stained	1
CLEARED AND STAINED, SOFT PARTS IN ALCOHOL	cleared and stained | soft parts in alcohol	1
CLEARED IN STAINED SPECIMEN, SOFT PARTS IN ALCOHOL	cleared and stained | soft parts in alcohol	1
CLOACAL BONES (DRY)	cloacal bones	1
CLUTCH - COMPLETE - 1	clutch (complete) - 1	1
CLUTCH - PARTIAL - 1	clutch (partial) - 1	1
CLUTCH (COMPLETE) WITH NEST (COMPLETE) - 1	clutch (complete) with nest (complete) - 1	1
CLUTCH (PARTIAL) WITH NEST (COMPLETE) - 1	clutch (partial) with nest (complete) - 1	1
CO	cranium	1
COM (DRY)	whole animal	1
COMPLETE (C&S)	whole animal (cleared and stained)	1
COMPLETE (DRY + GLYCERIN)	whole animal (dry and glycerin)	1
COMPLETE (DRY)	whole animal	1
COMPLETE (DRY), TISSUE	whole animal | tissue	1
COMPLETE (GLYCERIN)	whole animal (glycerin)	1
COMPLETE (GLYCERIN), TISSUE	whole animal (glycerin) | tissue	1
COMPLETE (WHOLE)	whole animal	1
COMPLETE SKELETON - 1	complete skeleton - 1	1
COMPLETE SKELETON ONLY	complete skeleton	1
COMPLETE SKELETON, TISSUE - 1	complete skeleton | tissue - 1	1
CRÁNEO	skull	1
CRÀNEO	skull	1
CRÁNEO Y ESQUELETO	skeleton | skull	1
CRÁNEO Y ESQUELETO, ??	skeleton | skull	1
CRÁNEO Y FRACCIÓN DE PIEL	partial skin | skull	1
CRÁNEO Y FRACCIÓN DE PIEL, HÍGADO Y SANGRE	liver | blood | partial skin | skull	1
CRÁNEO Y FRACCIÓN DE PIEL, SANGRE	blood | partial skin | skull	1
CRÁNEO, FRACCIÓN	partial skull	1
CRANIUM	skull	1
CRANIUM AND L DENTARY	cranium | left dentary	1
CRANIUM AND R DENTARY	cranium | right dentary	1
CRANIUM FRAG	partial skull	1
CRANIUM ONLY	cranium	1
CRANIUM PORTION	partial skull	1
CRANIUM.	skull	1
DENTARIES	dentaries	1
DENTARIES ONLY	dentaries	1
DENTARY	dentary	1
DENTARY O.	dentary	1
DENTARY ONLY	dentary	1
DIET ANALYSIS  (231 VIALS)	stomach contents (231 vials)	1
DISARTICULATED	disarticulated	1
DISMOUNTED SKULL	dismounted skull	1
DISSECTED PICKLED SPECIMEN	dissected pickle	1
DISSECTED PICKLED SPECIMEN, TISSUE	dissected pickle | tissue	1
DRIED HEAD	dried head	1
DRIED INFLATED LUNGS	dried inflated lungs	1
DRIED PARTIAL SPECIMEN	dried partial skeleton	1
DRIED PRESERVED FOOT, TISSUE	dried foot | tissue	1
DRIED SHELL, SKULL AND SKIN	dried shell | skin | skull	1
DRIED SKELETON	dried skeleton	1
DRIED SKIN	dried skin	1
DRIED SKIN AND SKULL	dried skin | dried skull	1
DRIED SKIN WITH LEG BONES	dried skin with leg bones	1
DRIED SKIN WITH SKULL	dried skin with skull	1
DRIED SKINNED SPECIMEN	dried skinned specimen	1
DRIED SPECIMEN	dried specimen	1
DRIED SPECIMENS	dried specimens	1
DRIED WITH SKELETON	dried with skeleton	1
DRY	dry	1
DRY EGGSHELLS	dry eggshells	1
DRY SHELL	dry eggshell	1
DRY SHELL, HEAD, TAIL AND LEG SKINS IN ALCOHOL, GONADS IN FORMALIN	dried shell | dried head | alcoholic tail and legs skins | gonads in formalin	1
DRY SKEL.	dry skeleton	1
DRY SKELEOTN	skeleton	1
DRY SKELETON	dry skeleton	1
DRY SKELETON, SKIN	dry skeleton | skin	1
DRY SKELETON; EMBRYO	dry skeleton | embryo	1
DRY SKELETON; SKIN	dry skeleton | skin	1
DRY SKULL	dry skull	1
DRY SKULL AND CLEARED AND STAINED BODY	cleared and stained | dried skull	1
DRY SKULL, C&S 	cleared and stained | dry skull	1
DRY SPECIMEN	dry specimen	1
DRY WHOLE BODY	whole body (dry)	1
DRY, C&S	cleared and stained | dry	1
DRY, C&S, FLUID	cleared and stained | dry | fluid	1
DRY, C&S, HEMIPENIS, FLUID	cleared and stained | dry | fluid | hemipenis	1
DRY, DRY	dry	1
DRY, FLUID	dry | fluid	1
DRY, FLUID, C&S	cleared and stained | dry | fluid	1
DRY, FLUID, C&S, HEMIPENIS	cleared and stained | dry | fluid | hemipenis	1
DRY, FLUID, DRY	dry | fluid	1
DRY, FLUID, FLUID	dry | fluid	1
DRY, FLUID, HEMIPENIS	dry | fluid | hemipenis	1
DRY, FLUID, HEMIPENIS, C&S	cleared and stained | dry | fluid | hemipenis	1
DRY, FLUID, TISSUE	dry | fluid | tissue	1
DRY, HEMIPENIS	dry | hemipenis	1
DRY, HEMIPENIS, C&S, FLUID	cleared and stained | dry | fluid | hemipenis	1
DRY, HEMIPENIS, DRY	dry | hemipenis	1
DRY, HEMIPENIS, DRY, FLUID	dry | fluid | hemipenis	1
DRY, HEMIPENIS, FLUID	dry | fluid | hemipenis	1
DRY, HEMIPENIS, MICROTECHNIQUE	dry | hemipenis | microtechnique	1
DRY, MICROTECHNIQUE	dry | microtechnique	1
DRY, RECORDING	dry | recording	1
DRY, TISSUE	dry | tissue	1
DRY, TISSUE, FLUID	dry | fluid | tissue	1
DUNG	dung	1
E	eggs	1
ECTOPARASITE:  ALC	ectoparasite (alcohol)	1
EG	egg	1
EGG	egg	1
EGG (DRY)	egg	1
EGG CAST - 1	egg cast - 1	1
EGG SET	egg set	1
EGG SET, MOUNT, NEST	egg set | mount | nest	1
EGG SET, NEST	egg set | nest	1
EGG SET, TISSUE	egg set | tissue	1
EGG SET/01	eggs	1
EGG SET/01+NEST	eggs | nest	1
EGG SET/02	eggs	1
EGG SET/02 + NEST	eggs | nest	1
EGG SET/02+NEST	eggs | nest	1
EGG SET/03	eggs	1
EGG SET/03+NEST	eggs | nest	1
EGG SET/04	eggs	1
EGG SET/04+NEST	eggs | nest	1
EGG SET/05	eggs	1
EGG SET/05+NEST	eggs | nest	1
EGG SET/06	eggs	1
EGG SET/06+NEST	eggs | nest	1
EGG SET/07	eggs	1
EGG SET/07+NEST	eggs | nest	1
EGG SET/08	eggs	1
