geodeticdatum	standard	vetted
-25.44704	not recorded	1
-25.46667	not recorded	1
-25.55983	not recorded	1
-25.5903	not recorded	1
-25.66667	not recorded	1
-25.6667	not recorded	1
-25.67974	not recorded	1
-25.83867	not recorded	1
-25.85333	not recorded	1
-25.92167	not recorded	1
2577	not recorded	1
-26.0529	not recorded	1
-26.10971	not recorded	1
26.1666666666667	not recorded	1
-26.17403	not recorded	1
-26.19917	not recorded	1
-26.24514	not recorded	1
-26.24858	not recorded	1
26.3166666666667	not recorded	1
-26.35117	not recorded	1
-26.3702	not recorded	1
-26.511	not recorded	1
-26.5125	not recorded	1
-26.58667	not recorded	1
-26.6	not recorded	1
-26.635	not recorded	1
-26.645	not recorded	1
-26.68583	not recorded	1
-26.74967	not recorded	1
-26.76217	not recorded	1
-26.84585	not recorded	1
-26.86	not recorded	1
-26.90167	not recorded	1
262	not recorded	1
263	not recorded	1
27	not recorded	1
-27.01167	not recorded	1
-27.06333	not recorded	1
-27.18	not recorded	1
-27.23333	not recorded	1
-27.2875	not recorded	1
-27.36264	not recorded	1
-27.3833	not recorded	1
-27.40089	not recorded	1
-27.40895	not recorded	1
-27.42531	not recorded	1
-27.44688	not recorded	1
27.4666666666667	not recorded	1
-27.50667	not recorded	1
-27.51311	not recorded	1
-27.58513	not recorded	1
-27.66583	not recorded	1
-27.74667	not recorded	1
-27.76645	not recorded	1
-27.83333	not recorded	1
-27.83809	not recorded	1
-27.83833	not recorded	1
-27.85253	not recorded	1
-27.86667	not recorded	1
-27.875	not recorded	1
-27.88405	not recorded	1
-27.8894	not recorded	1
-27.92333	not recorded	1
-27.92411	not recorded	1
-27.93345	not recorded	1
-27.94917	not recorded	1
-27.96788	not recorded	1
-270.833.333	not recorded	1
270A	not recorded	1
270FT	not recorded	1
2735	not recorded	1
-28.05	not recorded	1
-28.0569	not recorded	1
-28.0792	not recorded	1
-28.0958	not recorded	1
28.133333	not recorded	1
-28.1903	not recorded	1
-28.22833	not recorded	1
-28.275	not recorded	1
-28.2868	not recorded	1
-28.37317	not recorded	1
-28.44167	not recorded	1
-28.51301	not recorded	1
-28.5167	not recorded	1
-28.55	not recorded	1
-28.55697	not recorded	1
-28.644	not recorded	1
-28.655583	not recorded	1
-28.65962	not recorded	1
-28.77417	not recorded	1
-28.84248	not recorded	1
-28.84521	not recorded	1
-28.98811	not recorded	1
282	not recorded	1
2880	not recorded	1
-29.08333	not recorded	1
-29.1	not recorded	1
-29.13317	not recorded	1
-29.16667	not recorded	1
-29.19	not recorded	1
-29.26	not recorded	1
-29.26333	not recorded	1
-29.26724	not recorded	1
-29.26774	not recorded	1
-29.27631	not recorded	1
-29.41667	not recorded	1
-29.93167	not recorded	1
29019	not recorded	1
293	not recorded	1
298	not recorded	1
29966	not recorded	1
2KM	not recorded	1
3	not recorded	1
-3.0255	not recorded	1
-3.1192	not recorded	1
-3.143291667	not recorded	1
-3.14703398	not recorded	1
-3.1533616667	not recorded	1
-3.66812	not recorded	1
-3.7536	not recorded	1
-3.980739	not recorded	1
-3.9843	not recorded	1
30	not recorded	1
-30.00169	not recorded	1
-30.18333	not recorded	1
-30.3167	not recorded	1
-30.4417	not recorded	1
-30.485	not recorded	1
30.51247	not recorded	1
-30.53833	not recorded	1
-30.54833	not recorded	1
-30.6583	not recorded	1
-30.66613	not recorded	1
-30.86667	not recorded	1
-30.9861	not recorded	1
3000 M	not recorded	1
301	not recorded	1
303	not recorded	1
3036	not recorded	1
304	not recorded	1
3066300_388600	not recorded	1
308	not recorded	1
-31.04156	not recorded	1
-31.05985	not recorded	1
-31.07667	not recorded	1
-31.08006	not recorded	1
-31.08009	not recorded	1
-31.08013	not recorded	1
-31.08528	not recorded	1
-31.0958	not recorded	1
-31.18967	not recorded	1
-31.375	not recorded	1
-31.62648	not recorded	1
-31.75	not recorded	1
-31.77113	not recorded	1
-31.79167	not recorded	1
-31.88333	not recorded	1
313	not recorded	1
-32.2333	not recorded	1
-32.23333333	not recorded	1
-32.30732	not recorded	1
-32.34326	not recorded	1
-32.34582	not recorded	1
-32.39922	not recorded	1
-32.43333	not recorded	1
-32.47011	not recorded	1
32.54572	not recorded	1
-32.61167	not recorded	1
-32.71052	not recorded	1
-32.77333	not recorded	1
-32.81668	not recorded	1
32.83333	not recorded	1
-32.84918	not recorded	1
-32.86667	not recorded	1
-33.00861	not recorded	1
-33.18333	not recorded	1
-33.30448	not recorded	1
-33.3833	not recorded	1
33.5	not recorded	1
-33.53265	not recorded	1
-33.74055	not recorded	1
-33.7583	not recorded	1
-33.7811	not recorded	1
-34.00404	not recorded	1
-34.09315	not recorded	1
34.101905	not recorded	1
-34.17	not recorded	1
-34.395	not recorded	1
-34.43791	not recorded	1
34.6819	not recorded	1
-34.90688	not recorded	1
-34.97258	not recorded	1
3462	not recorded	1
3483	not recorded	1
349	not recorded	1
35	not recorded	1
-35.0180556	not recorded	1
-35.8594444	not recorded	1
3500	not recorded	1
36.416389	not recorded	1
-36.93333	not recorded	1
3635.192	not recorded	1
-37,056692	not recorded	1
-37.28333	not recorded	1
-37.3227	not recorded	1
37.437467	not recorded	1
-37.51667	not recorded	1
-37.83934	not recorded	1
374	not recorded	1
376	not recorded	1
38	not recorded	1
-38.8963889	not recorded	1
-38.90483	not recorded	1
383279E 4484281N	not recorded	1
39935	not recorded	1
3M	not recorded	1
4,326	not recorded	1
-4.003514	not recorded	1
-4.09889	not recorded	1
4.148745	not recorded	1
-4.48333	not recorded	1
-4.71667	not recorded	1
-4.75	not recorded	1
-4.7963	not recorded	1
-4.8007	not recorded	1
-4.8025	not recorded	1
-4.81467	not recorded	1
4.83167	not recorded	1
4.865308	not recorded	1
-4.8713	not recorded	1
-4.8823	not recorded	1
-4.8888	not recorded	1
4.89667	not recorded	1
-4.9262	not recorded	1
4.931753	not recorded	1
4.93333	not recorded	1
4.933333	not recorded	1
-40.1997222	not recorded	1
401	not recorded	1
4082.78N 382.29E	not recorded	1
-41.04797	not recorded	1
-41.0497222	not recorded	1
-41.10092	not recorded	1
-41.16003	not recorded	1
-41.21633	not recorded	1
4171	not recorded	1
419	not recorded	1
42	not recorded	1
42.3215651	not recorded	1
42.32210303	not recorded	1
42.32231493	not recorded	1
42.32285288	not recorded	1
42.356157	not recorded	1
42.56576263	not recorded	1
42.59923918	not recorded	1
42.60488405	not recorded	1
42.61205826	not recorded	1
42.62618064	not recorded	1
42.62842405	not recorded	1
42.62937933	not recorded	1
42.67122714	not recorded	1
42.74001189	not recorded	1
42.89373874	not recorded	1
42.98009331	not recorded	1
425	not recorded	1
-43.05709	not recorded	1
43.09057928	not recorded	1
43.28834884	not recorded	1
43.34222222	not recorded	1
43.40194444	not recorded	1
-43.449142	not recorded	1
-43.476328	not recorded	1
-43.50912	not recorded	1
-43.531018	not recorded	1
-43.574795	not recorded	1
-43.640393	not recorded	1
-43.760737	not recorded	1
43.78444444	not recorded	1
-43.865102	not recorded	1
-43.8973	not recorded	1
-43.96468	not recorded	1
-43.968597	not recorded	1
4326	not recorded	1
-44.030845	not recorded	1
-44.05	not recorded	1
-44.060915	not recorded	1
-44.122883	not recorded	1
-44.1228833333333	not recorded	1
-44.200892	not recorded	1
-44.32402	not recorded	1
-44.56179	not recorded	1
-44.75	not recorded	1
-44.845772	not recorded	1
-44.9	not recorded	1
-44.94129	not recorded	1
4463	not recorded	1
45	not recorded	1
-45.238018	not recorded	1
-45.27298	not recorded	1
-45.31998	not recorded	1
-45.354453	not recorded	1
-45.40469	not recorded	1
-45.60638	not recorded	1
45.6519648	not recorded	1
46.23944444	not recorded	1
-46.291487	not recorded	1
-46.3165	not recorded	1
-46.556162	not recorded	1
-46.8205556	not recorded	1
46.82527778	not recorded	1
46.89022222	not recorded	1
-46.919462	not recorded	1
46.994	not recorded	1
-47,55	not recorded	1
47.00305556	not recorded	1
47.13569444	not recorded	1
47.15138889	not recorded	1
47.20111111	not recorded	1
-47.40861	not recorded	1
47.86397222	not recorded	1
47.86666667	not recorded	1
47.87025	not recorded	1
-48,62	not recorded	1
-48.66667	not recorded	1
48.8444	not recorded	1
-49,35	not recorded	1
49.15	not recorded	1
49.20416667	not recorded	1
49.96722222	not recorded	1
49.99222222	not recorded	1
4O50'51.51	not recorded	1
5	not recorded	1
5.02325	not recorded	1
5.027881	not recorded	1
-5.1027	not recorded	1
5.109167	not recorded	1
-5.1149	not recorded	1
-5.1307	not recorded	1
-5.1373	not recorded	1
-5.1387	not recorded	1
-5.1418	not recorded	1
-5.1511	not recorded	1
-5.1548	not recorded	1
5.166667	not recorded	1
5.16667	not recorded	1
-5.1723	not recorded	1
5.174722	not recorded	1
-5.253	not recorded	1
-5.2539	not recorded	1
-5.2573	not recorded	1
-5.29867	not recorded	1
-5.4411	not recorded	1
-5.4617	not recorded	1
5.487342	not recorded	1
5.51666666666667	not recorded	1
5.51667	not recorded	1
5.53361	not recorded	1
5.553136	not recorded	1
-5.578611	not recorded	1
5.59M	not recorded	1
-5.67483	not recorded	1
-5.6915	not recorded	1
-5.71733	not recorded	1
-5.79667	not recorded	1
5.816667	not recorded	1
-5.83322	not recorded	1
-5.8874	not recorded	1
-5.8935	not recorded	1
-5.905	not recorded	1
-5.965	not recorded	1
-5.98	not recorded	1
50	not recorded	1
5000	not recorded	1
50000	not recorded	1
5047	not recorded	1
-51,70	not recorded	1
-51,73	not recorded	1
5108	not recorded	1
518	not recorded	1
-52.01667	not recorded	1
-52.25	not recorded	1
-52.99833	not recorded	1
-53,58	not recorded	1
-53.70667	not recorded	1
-53.91167	not recorded	1
5320	not recorded	1
-54,13	not recorded	1
-54,43	not recorded	1
-54.23333	not recorded	1
-54.59667	not recorded	1
-54.65	not recorded	1
-54.70167	not recorded	1
-54.89667	not recorded	1
-54.91667	not recorded	1
54.9643	not recorded	1
54.97559	not recorded	1
-55,88	not recorded	1
55.01815	not recorded	1
-55.0355833	not recorded	1
55.0653	not recorded	1
55.06615	not recorded	1
-55.17	not recorded	1
-55.30833	not recorded	1
-55.385	not recorded	1
-55.5225833	not recorded	1
55.55543	not recorded	1
55.55876	not recorded	1
55.57479	not recorded	1
55.58468	not recorded	1
55.58507	not recorded	1
55.59205	not recorded	1
55.60733	not recorded	1
55.60862	not recorded	1
55.61606	not recorded	1
55.62591	not recorded	1
55.63246	not recorded	1
55.6415	not recorded	1
55.64914	not recorded	1
55.65118	not recorded	1
55.65602	not recorded	1
55.6594	not recorded	1
55.66409	not recorded	1
55.66447	not recorded	1
55.69447	not recorded	1
55.69985	not recorded	1
55.7017	not recorded	1
